ID	Name\HasVariant	Glottocode	Family	ISO639P3Code	PRONTO
angaataha	Angaataha		anga1290	Angan	agm	https://drive.google.com/file/d/1rreS1ak0yIKqGP6T-pqLcXGGceeT2HGk/view?usp=share_link
angor	Angor		ango1254	Senagi	agg	https://drive.google.com/file/d/1XonF8QN00QtTUYePhkOfCFzSR9ZfyN7q/view?usp=share_link
anindilyakwa	Anindilyakwa		anin1240	Gunwinyguan	aoi	https://drive.google.com/file/d/1c1jCyD2Li10NP2JplkR8yuASoDMDUHVK/view?usp=share_link
anjam	Anjam		anja1238	Nuclear Trans New Guinea	boj	https://drive.google.com/file/d/1nqvJOu91aEKLt-ygvgVu288KdNhO84tI/view?usp=share_link
anjam1	Anjam	1	anja1238	Nuclear Trans New Guinea	boj	https://drive.google.com/file/d/16MyorQ-CdkvRLalLO92B-XBIP73J2WDj/view?usp=share_link
ankave	Ankave		anka1246	Angan	aak	https://drive.google.com/file/d/1FxF_ykGGwEt51oj4FCcDGPt-F4pIfNnh/view?usp=share_link
anmatyerre	Anmatyerre		anma1239	Pama-Nyungan	amx	https://drive.google.com/file/d/1UQeai4IUXo0D6LWLor9BCrWm9pyl0nMV/view?usp=share_link
anuki	Anuki		anuk1239	Austronesian	aui	https://drive.google.com/file/d/19WXMHI5rEWYBtiozN7NS5vfYCcrAnBHb/view?usp=share_link
westernapache	Western Apache		west2615	Athabaskan-Eyak-Tlingit	apw	https://drive.google.com/file/d/1Ukv8bi9LBAZuaCpx49FF8QOdPI2lJ-5V/view?usp=share_link
apinaye	Apinayé		apin1244	Nuclear-Macro-Je	apn	https://drive.google.com/file/d/1TKbjmGIwWzPDqaU0H8v9wq-l8Vz3agUA/view?usp=share_link
apurina	Apurinã		apur1254	Arawakan	apu	https://drive.google.com/file/d/1FJn86gxDgAFOaPQHMZ51S-4NHKL5ZsSl/view?usp=share_link
arabela	Arabela		arab1268	Zaparoan	arl	https://drive.google.com/file/d/14aHHE65h2cPJSmeLcMDavwDFW0emu4FL/view?usp=share_link
standardarabic	Standard Arabic		stan1318	Afro-Asiatic	arb	https://drive.google.com/file/d/17Hg0O-iDzM2-8IaOFEDYxwIj8869WdKN/view?usp=share_link
standardarabic1	Standard Arabic	1	stan1318	Afro-Asiatic	arb	https://drive.google.com/file/d/1O5jNoNYlzX3HrxEqgHJ4g3uMj7AjBtGA/view?usp=share_link
arapaho	Arapaho		arap1274	Algic	arp	https://drive.google.com/file/d/1f12h3LTq2O7jvGo3Vu13x8AVMf2MlT0m/view?usp=share_link
