ID	Name\HasVariant	Glottocode	Family	ISO639P3Code	PRONTO
daaichin	Daai Chin		daai1236	Sino-Tibetan	dao	https://drive.google.com/file/d/1opOzFJYnyDu-WmeR3kfES3qjiLltAHt9/view?usp=share_link
easternkhumichin	Eastern Khumi Chin		east2779	Sino-Tibetan	cek	https://drive.google.com/file/d/1o4achUnGFQUjx2E86lYcSYzwQsevU52A/view?usp=share_link
ngala	Nga La		ngal1291	Sino-Tibetan	hlt	https://drive.google.com/file/d/1HsdNO6xu7pGUmlG8OAiqQqhjFq0ToSCm/view?usp=share_link
ngala1	Nga La	1	ngal1291	Sino-Tibetan	hlt	https://drive.google.com/file/d/1k-_RBCkDFIXWjwqoUJCJjUDqU5ZCKLxm/view?usp=share_link
ngala1	Nga La	1	ngal1291	Sino-Tibetan	hlt	https://drive.google.com/file/d/10_XuYRoY8yRBRs8cqrnrIBnGxk7kxIah/view?usp=share_link
sizangchin	Sizang Chin		siyi1240	Sino-Tibetan	csy	https://drive.google.com/file/d/15gGYXMDSQPVvF-rqahpKsyH8KpllTJkw/view?usp=share_link
thadochin	Thado Chin		thad1238	Sino-Tibetan	tcz	https://drive.google.com/file/d/1-FOuB-HytxBMrsPhrrR1innsKc_0_3s5/view?usp=share_link
thaipumchin	Thaipum Chin		thai1262	Bookkeeping	cth	https://drive.google.com/file/d/1rcIAlqV5UUrjJ5qFuDcYYyqKuSbsARsl/view?usp=share_link
zyphe	Zyphe		zyph1238	Sino-Tibetan	zyp	https://drive.google.com/file/d/1BVqLBlGQzOLzk1Czja_gkF7OZL9o7fQ6/view?usp=share_link
comaltepecchinantec	Comaltepec Chinantec		coma1246	Otomanguean	cco	https://drive.google.com/file/d/1gsRv7sBjrx1dGPzGz_Lv1KwJNwBm6lb6/view?usp=share_link
lalanachinantec	Lalana Chinantec		lala1270	Otomanguean	cnl	https://drive.google.com/file/d/1QcwBXHUKVscPKveC6EK3Gg2Upz4bMceG/view?usp=share_link
lealaochinantec	Lealao Chinantec		leal1235	Otomanguean	cle	https://drive.google.com/file/d/1lpe6ixMg5zeTdridg_pwepW3X7RmdCDa/view?usp=share_link
ozumacinchinantec	Ozumacín Chinantec		ozum1235	Otomanguean	chz	https://drive.google.com/file/d/1Lx_oCL8scyFkwgPT08i8hjXVI_Z3AYpN/view?usp=share_link
palantlachinantec	Palantla Chinantec		pala1351	Otomanguean	cpa	https://drive.google.com/file/d/16dHJ9LRaMeuMHOM-j9U8GwmnFReFT-Ea/view?usp=share_link
quiotepecchinantec	Quiotepec Chinantec		quio1240	Otomanguean	chq	https://drive.google.com/file/d/1v82B41dy5x-v9HFOiKsMx_IebR2Iw0-T/view?usp=share_link
sochiapamchinantec	Sochiapam Chinantec		soch1239	Otomanguean	cso	https://drive.google.com/file/d/1cOL8z9M6oBNhOiBAlXOHAQWRB6d5h0S4/view?usp=share_link
tepetotutlachinantec	Tepetotutla Chinantec		tepe1279	Otomanguean	cnt	https://drive.google.com/file/d/1mY1-jwF6iGyehZXqwJkpM_39jeeoTzEP/view?usp=share_link
usilachinantec	Usila Chinantec		usil1237	Otomanguean	cuc	https://drive.google.com/file/d/1IZu_SY-eDIxHBmff97KISDitO6YTfKJE/view?usp=share_link
mandarinchinese	Mandarin Chinese		mand1415	Sino-Tibetan	cmn	https://drive.google.com/file/d/1JXZIWSu57JHzEB6jSiBwFisO1-K1Lzd-/view?usp=share_link
mandarinchinese1	Mandarin Chinese	1	mand1415	Sino-Tibetan	cmn	https://drive.google.com/file/d/1cxK8soX63xWozmYVObThpB90nCcnbLhS/view?usp=share_link
mandarinchinese1	Mandarin Chinese	1	mand1415	Sino-Tibetan	cmn	https://drive.google.com/file/d/1Y_alkPkhGv5zKN_diQMMET0QMiz8d-RK/view?usp=share_link
chipaya	Chipaya		chip1262	Uru-Chipaya	cap	https://drive.google.com/file/d/1O_EnB9SwoN88lJ1ZyukoScl-WAZYtE54/view?usp=share_link
lomerianoignacianochiquitano	Lomeriano-Ignaciano Chiquitano		chiq1248	Chiquitano	cax	https://drive.google.com/file/d/1XOCGHpvee37SzX1XHl3RuhA7UVcUSk-N/view?usp=share_link
yao	Yao		yaoo1241	Atlantic-Congo	yao	https://drive.google.com/file/d/1QGZQd-tYDg8CYyjKpdbI9yYnWlvol2Yy/view?usp=share_link
chol	Chol		chol1282	Mayan	ctu	https://drive.google.com/file/d/1aq0fR2BBzz9HJ9fIDhBar0900TuyWmZ9/view?usp=share_link
chol1	Chol	1	chol1282	Mayan	ctu	https://drive.google.com/file/d/1GxXtY4LhQ92xznik3oZjoBqJGsrbS5sR/view?usp=share_link
chol1	Chol	1	chol1282	Mayan	ctu	https://drive.google.com/file/d/1U0SzmO7gS_Z6ebdEZjarpSc-MJs392G0/view?usp=share_link
highlandoaxacachontal	Highland Oaxaca Chontal		high1242	Tequistlatecan	chd	https://drive.google.com/file/d/19oW_wBhG5VQzebCmNrihhL2Cr9DrYLYN/view?usp=share_link
tabascochontal	Tabasco Chontal		taba1266	Mayan	chf	https://drive.google.com/file/d/15RvbeNwSvHSDyLa5GWjVxaiSJ_MOGm7y/view?usp=share_link
chorti	Ch'orti'		chor1273	Mayan	caa	https://drive.google.com/file/d/17mL905LGenBsvMMy6bJsBmFjmEa7F9c8/view?usp=share_link
chuave	Chuave		chua1250	Nuclear Trans New Guinea	cjv	https://drive.google.com/file/d/1wnp7Gzb8mf_oxlMSK3yfqhQI9Sram03V/view?usp=share_link
chuj	Chuj		chuj1250	Mayan	cac	https://drive.google.com/file/d/1q1u7OUnUqXQSA8_goQ_RjRoPyyuwMxgl/view?usp=share_link
chumburung	Chumburung		chum1261	Atlantic-Congo	ncu	https://drive.google.com/file/d/1CtG-et9CjYTULCsgk06Oj0w4XKzuBD_C/view?usp=share_link
chuukese	Chuukese		chuu1238	Austronesian	chk	https://drive.google.com/file/d/1OkRSiw6USQdSCbSgXyXrfrzeI34bKpBh/view?usp=share_link
chacobo	Chácobo		chac1251	Pano-Tacanan	cao	https://drive.google.com/file/d/1AFguinK_beWYJ_GHYeqHINMoKkn8pxof/view?usp=share_link
cofan	Cofán		cofa1242		con	https://drive.google.com/file/d/1_jNtl-n41eVwGtAHheUVA88Fci7nrzzd/view?usp=share_link
tsafiki	Tsafiki		colo1256	Barbacoan	cof	https://drive.google.com/file/d/19eTwkHwDRIV_EeeRaf-VAzsJeRA5dDtl/view?usp=share_link
coptic	Coptic		copt1239	Afro-Asiatic	cop	https://drive.google.com/file/d/1fL-lxgJlSc87Mtxx2FoNzS_4A_d_WoDT/view?usp=share_link
coptic1	Coptic	1	copt1239	Afro-Asiatic	cop	https://drive.google.com/file/d/1TjhMC-JjtTFsoz28Hm6vNaBFSTCYS1UU/view?usp=share_link
coptic1	Coptic	1	copt1239	Afro-Asiatic	cop	https://drive.google.com/file/d/1882D1KAcHIX2vGdk6rPpyqMJgwwrcUq_/view?usp=share_link
elnayarcora	El Nayar Cora		elna1235	Uto-Aztecan	crn	https://drive.google.com/file/d/1FJRbwaDF2XjJyIR5OaipjbnzMiQ4RMae/view?usp=share_link
croatianstandard	Croatian Standard		croa1245	Indo-European	hrv	https://drive.google.com/file/d/1TuISehBEee6vbZWzKBunwRE7Z2LoeNOD/view?usp=share_link
cubeo	Cubeo		cube1242	Tucanoan	cub	https://drive.google.com/file/d/17ChTsK6FD2Zy1NcPO_iz4IkMEKclHieO/view?usp=share_link
cuiba	Cuiba		cuib1242	Guahiboan	cui	https://drive.google.com/file/d/1OWt7mE38tovuzljQWUJvt4IlzvV5hXlF/view?usp=share_link
tepeuxilacuicatec	Tepeuxila Cuicatec		tepe1280	Otomanguean	cux	https://drive.google.com/file/d/1FiEKa62sBvqqf2JiH-kcVmtyK9lTjOVm/view?usp=share_link
teutilacuicatec	Teutila Cuicatec		teut1235	Otomanguean	cut	https://drive.google.com/file/d/1xrl3ZmJQtbqsyelnLWIbwmvoezIMTlbJ/view?usp=share_link
czech	Czech		czec1258	Indo-European	ces	https://drive.google.com/file/d/1XqWZNUDlUePadWtdA2Z2t9xOhXvVM-ue/view?usp=share_link
czech1	Czech	1	czec1258	Indo-European	ces	https://drive.google.com/file/d/1aL1_biw5QRLLDNSnAy7PJ4GXPAsCK74s/view?usp=share_link
czech1	Czech	1	czec1258	Indo-European	ces	https://drive.google.com/file/d/1mveJXiRUcqhj4zmAiZodLv2zLGBFl_6W/view?usp=share_link
dadibi	Dadibi		dadi1250	Teberan	mps	https://drive.google.com/file/d/1j3g18kBoOq2bw1XcIgfBz1bz3dLO8EEy/view?usp=share_link
daga	Daga		daga1275	Dagan	dgz	https://drive.google.com/file/d/1nwxHBac5r82iGiSHo-cPy23Lei8NqRhh/view?usp=share_link
dangaleat	Dangaleat		dang1274	Afro-Asiatic	daa	https://drive.google.com/file/d/1AW_8zqixIrSEvC0A302kJkfBkIvqbYfI/view?usp=share_link
danish	Danish		dani1285	Indo-European	dan	https://drive.google.com/file/d/1QvQYMXX8AH9NPTxqdIAPY8m2Rc2Cp-la/view?usp=share_link
dano	Dano		dano1240	Nuclear Trans New Guinea	aso	https://drive.google.com/file/d/1drxZHJJxyGXmvYdqt0yKA9qdcAHX09Lm/view?usp=share_link
dawawa	Dawawa		dawa1242	Austronesian	dww	https://drive.google.com/file/d/1qRI6FtgfhFrcSpW5bjKZKCnJ1OjAwhPI/view?usp=share_link
dawro	Dawro		dawr1236	Ta-Ne-Omotic	dwr	https://drive.google.com/file/d/1z_4Ns7NOvPAgvmEs0Gp8YDX0u6v6UWSV/view?usp=share_link
dawro1	Dawro	1	dawr1236	Ta-Ne-Omotic	dwr	https://drive.google.com/file/d/1Yc0TJG-5-G4ZZX1RbQ3qWnaUSyMDhxrM/view?usp=share_link
dedua	Dedua		dedu1240	Nuclear Trans New Guinea	ded	https://drive.google.com/file/d/1p65H8QEVBLnDNab_IdpKfVH-mjpXC8ja/view?usp=share_link
delaoenale	Dela-Oenale		dela1251	Austronesian	row	https://drive.google.com/file/d/1qmb_l6xxuoGW4Dgb98YQLlbf9-tmGIkg/view?usp=share_link
denya	Denya		deny1238	Atlantic-Congo	anv	https://drive.google.com/file/d/1IYWplQKgwy_1GqyKm0DoLshmX6Umz76j/view?usp=share_link
desiya	Desiya		desi1235	Bookkeeping	dso	https://drive.google.com/file/d/1ykq9KJT9ATUvkf6ikxxuWVmp4-DpnK9t/view?usp=share_link
dhao	Dhao		dhao1237	Austronesian	nfa	https://drive.google.com/file/d/1RjAEMOQ5ok0j17b_yl4UqwK6U3DnF_Va/view?usp=share_link
luokenyaandtanzania	Luo (Kenya and Tanzania)		luok1236	Nilotic	luo	https://drive.google.com/file/d/1ZpXIoUbesO3prc1kQDG8qsMm1HVfcvXG/view?usp=share_link
dhuwaya	Dhuwaya		dhuw1250	Pama-Nyungan	dwy	https://drive.google.com/file/d/1OTLT6yqbzcf1spvGF8iiKK2RrJB0gKyq/view?usp=share_link
dieri	Dieri		dier1241	Pama-Nyungan	dif	https://drive.google.com/file/d/1njJq5ZjiF7LZcuwOUIfy4lbkj_P0JKNp/view?usp=share_link
southwesterndinka	Southwestern Dinka		sout2832	Nilotic	dik	https://drive.google.com/file/d/1caA8D1pgTye3CSp44D-0QOCGhh3qODQt/view?usp=share_link
ditammari	Ditammari		dita1238	Atlantic-Congo	tbz	https://drive.google.com/file/d/129aSq4o1644qaYK-jqADL7fMufEBZbn6/view?usp=share_link
djambarrpuyngu	Djambarrpuyngu		djam1256	Pama-Nyungan	djr	https://drive.google.com/file/d/1lwf1Mq-zn7yLu7uDXocjzMjFsv_A15tJ/view?usp=share_link
dhangu	Dhangu		dhan1270	Pama-Nyungan	dhg	https://drive.google.com/file/d/1s7frioIT6Uo84G6TNXoUH7wxtU4MJw1i/view?usp=share_link
dhangu1	Dhangu	1	dhan1270	Pama-Nyungan	dhg	https://drive.google.com/file/d/1CKoh0ua-vTQMSWuD0nI0hgAqk5ngyFOp/view?usp=share_link
dobu	Dobu		dobu1241	Austronesian	dob	https://drive.google.com/file/d/18aLZiAW-1wW92zQkaaH_BFyBeAZ71k6a/view?usp=share_link
dogrib	Dogrib		dogr1252	Athabaskan-Eyak-Tlingit	dgr	https://drive.google.com/file/d/1Coff3UMsheH5ZUNZfafgQphXX8DevnYp/view?usp=share_link
tokaleyadombe	Toka-Leya-Dombe		domb1246	Atlantic-Congo	dov	https://drive.google.com/file/d/1vFvSFmFOmw5pjS-5ATI5QgSlCVlfr-pA/view?usp=share_link
doromukoki	Doromu-Koki		doro1266	Manubaran	kqc	https://drive.google.com/file/d/1gHvXxwPd-0MvgDW_jWJDjOve0q1ypRjj/view?usp=share_link
dutch	Dutch		dutc1256	Indo-European	nld	https://drive.google.com/file/d/1aj0LxhjKG7R_7sq_pLS8VPE0MZyO2XJc/view?usp=share_link
dutch1	Dutch	1	dutc1256	Indo-European	nld	https://drive.google.com/file/d/1nAeN4t9pET6OJS25h3tv8duYU8XQOpwX/view?usp=share_link
eastkewa	East Kewa		east2516	Nuclear Trans New Guinea	kjs	https://drive.google.com/file/d/19pQvOGTeMIKoPy9pc75cy42J3IEMFRmy/view?usp=share_link
aukan	Aukan		ndyu1242	Indo-European	djk	https://drive.google.com/file/d/1mTBnEn0VyP7aVFlvoDqdGZrb_xqyeLn1/view?usp=share_link
edolo	Edolo		edol1239	Bosavi	etr	https://drive.google.com/file/d/1DTI-ADLWLh_HK53fh-fhT1fVo_TFn9Fk/view?usp=share_link
estonian	Estonian		esto1258	Uralic	ekk	https://drive.google.com/file/d/1vRz8oFbo_bvKEckua-i-FtgYB4aD_xXM/view?usp=share_link
northernembera	Northern Emberá		nort2972	Chocoan	emp	https://drive.google.com/file/d/1pJPl1_o_7mp-ys_Rh6MncWFLWJdmJYEb/view?usp=share_link
enga	Enga		enga1252	Nuclear Trans New Guinea	enq	https://drive.google.com/file/d/1awxL7Nu9k6kqez51TCM8G9UV3_u5TztB/view?usp=share_link
enga1	Enga	1	enga1252	Nuclear Trans New Guinea	enq	https://drive.google.com/file/d/1Nhi3Q6Ly8xP87f_zsGakQstRiAW7k_Ua/view?usp=share_link
english	English		stan1293	Indo-European	eng	https://drive.google.com/file/d/13RO1VzgbgtGpU8ZKoqajZYAEQ8xaWoAh/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1C93dyzlcG8Af96bGUeU1Fk45Dwc2V0DM/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1PTPQqRTl72JnwYTH7s_krGFluWaAGSLN/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1joIhuonIOciTZtnS9K7jAbHX-RLxg6rP/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1M7-vZzoffOLfJr90mnHuNgRXY0izxbLb/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1f0Qy4hRwLFYpTiFVAkZYIp_kIXNxfQtV/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1PB6WMPa5Mksgd0SP6-EZ9-XM7CsZt_dw/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1RbgtELb9TYH0mzOb3JrjrVCAbK3qWh2R/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/13x1x8Q2T2UmDVU-uyqGPCn6vtLa6Qz8_/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1cxkW7E0A9QyWlrkQUPwtvhekvkeEhOaE/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1FQYGRj2tJWbY74yT6qiSd0mbfxYF1dR6/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1BVtvyjbN2GXh0yVPujkfIL6sFkSECCyB/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1syHuqSnifOShXQY8RgpN84jmKHhR4kGu/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1V00EYrqpeMKK-DVTXK2mxihtyO_nqu2J/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1pkzHqVAD03ebK9tXiXoBbJIt7Wc7ekMo/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1t_5sbhHnd71zyZyr-6iWs5iKshmFdbTK/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1MO1Vp0s-2qUfFnUtR9ZjFTdpZbL8uloN/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1u2cEY4WgT-m7HM6iWR-Lqh9tenddXwmq/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/13W7d8SoCUWWuRYMy6EAl2hIeIpibYSFj/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1Qd2BTpip0sUYEWphf_x-aWT0ui3esHM1/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1Ej8jJuVnKcnsHmCGRaqUSS-t0gpRT_HI/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1pnZkKcS-Gb9ccAiCrfswB32wb5wGApVv/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1WPScnf1l39Cs3Faf8n4pEomXEphdcILE/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1TlG_On8piEGFjoIGqtWsJud5JvUmJkoh/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1nZCmlQI3CYth-XZ8O9THrGpEIXaskoNA/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1brG8GPe0essazRpXmwaFS6IHOMC1_Zw0/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1y5Xma5j9aLcPjah4LCAW-1Mn76B_XmVJ/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1ispJ7zBCvL0pYgn2eSnYRgbih5w7VG58/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1dSgwA1xlQA_-wUdLXkJ35pnXdsbQ2svp/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1DsQj-3fJZ-yeNzRD1tov3MFVpjRFGof6/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1rgdv4qlwcop_bIMm3l_lfJzBpxOSSJ9X/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1OS53olXGyWFvxZrHZdrpnqODmJ0xLcMx/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1p3r8-3YB9XFO_UVodsDK40KXcFj-PWv6/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1hHJs_kLK0r-bl2tRhggjnflp1w1Sizlc/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/12fDTLB5h98u93Dj1xk9L_nmgaZ7lzbXz/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/14CD4DvmYtup43i2MNYRoVHZL_eUJ4d6M/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1k5834aH3B0ZVlXkatRTPKFlU-Vs2prfC/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1rwri_ejNFc_6GifbSt9UtP7xyQ4Ocdw4/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/19utAIPdsUQelDQevZAShD3izkJZUXO-2/view?usp=share_link
english1	English	1	stan1293	Indo-European	eng	https://drive.google.com/file/d/1KUuKMUDL0DhOj4tFzWzjOZGrPhojwCqj/view?usp=share_link
epena	Epena		epen1239	Chocoan	sja	https://drive.google.com/file/d/1vvSy4zpJ_gv_0Ew8OqRsXfnRMXcjCzbv/view?usp=share_link
eseejja	Ese Ejja		esee1248	Pano-Tacanan	ese	https://drive.google.com/file/d/10WbZvsDa3_8tx6Fxbil2_W7OnM-2yEB9/view?usp=share_link
ese	Ese		esee1247	Koiarian	mcq	https://drive.google.com/file/d/1a6ZqTLLFjRP-ulgaHDHt8Aq0JBJEUfRr/view?usp=share_link
esperanto	Esperanto		espe1235	Artificial Language	epo	https://drive.google.com/file/d/1ITq9TjYsYln74YXPqV96s6FDDTlwlD9M/view?usp=share_link
ewagenotu	Ewage-Notu		ewag1241	Nuclear Trans New Guinea	nou	https://drive.google.com/file/d/1agQ59sMDL_Uk_9nO-QBbZ-SZ-3MvwdYz/view?usp=share_link
faiwol	Faiwol		faiw1243	Nuclear Trans New Guinea	fai	https://drive.google.com/file/d/1oXhgQzLmlNiPQqeg5UnnSeF7O2HtqCpy/view?usp=share_link
fanamaket	Fanamaket		make1251	Austronesian	bjp	https://drive.google.com/file/d/1t2GhtNpJWyBIsWNyenQ4BjQvLxJ8-V96/view?usp=share_link
fasu	Fasu		fasu1242		faa	https://drive.google.com/file/d/1b6XIhaxI-gUvswJOEru-FCAQBVxN8Ye6/view?usp=share_link
fataleka	Fataleka		fata1245	Austronesian	far	https://drive.google.com/file/d/1gRobNEQsBM_I7CqU2z7Ux1NtIQlbKYdn/view?usp=share_link
mufian	Mufian		mufi1238	Nuclear Torricelli	aoj	https://drive.google.com/file/d/15tWbxYZj_3EO5cS7O3dpX_UQDA4lKfZw/view?usp=share_link
folopa	Folopa		folo1238	Teberan	ppo	https://drive.google.com/file/d/1ILLo-yo0KS9P6mqdCjxhdHcE70FY6-6q/view?usp=share_link
fore	Fore		fore1270	Nuclear Trans New Guinea	for	https://drive.google.com/file/d/1xxQioJXi27L0SvLBgD2T9Lt8Bnd-A8ic/view?usp=share_link
french	French		stan1290	Indo-European	fra	https://drive.google.com/file/d/1LAPEzI03YLREeYFQ_VpSHdp9sj34E47g/view?usp=share_link
french1	French	1	stan1290	Indo-European	fra	https://drive.google.com/file/d/1X4bahPQdlV7cofjg_BmkFqV0fnQhPCBZ/view?usp=share_link
french1	French	1	stan1290	Indo-European	fra	https://drive.google.com/file/d/1g0pu17sq4zGBtXyrzP0ln9VIW-uEr67P/view?usp=share_link
french1	French	1	stan1290	Indo-European	fra	https://drive.google.com/file/d/1_6-PcmlDqF7IKLh-1eytsY6-nmFv-MLU/view?usp=share_link
borgufulfulde	Borgu Fulfulde		borg1235	Atlantic-Congo	fue	https://drive.google.com/file/d/16i4wDpCa4vn8VOnmxKTwuX5mXP26Bun7/view?usp=share_link
maasinafulfulde	Maasina Fulfulde		maas1239	Atlantic-Congo	ffm	https://drive.google.com/file/d/1ZNgIN07mdJq4RK6cBEFE5Yzhg4Ovqw2a/view?usp=share_link
westernnigerfulfulde	Western Niger Fulfulde		west2454	Atlantic-Congo	fuh	https://drive.google.com/file/d/1fWO_cDygeaqxNzilsn4Jr5vjz8tgQqed/view?usp=share_link
gamo	Gamo		gamo1243	Ta-Ne-Omotic	gmv	https://drive.google.com/file/d/1ozSiMVgQDEp6nBMhnsnOelmadET3DlrM/view?usp=share_link
gamo1	Gamo	1	gamo1243	Ta-Ne-Omotic	gmv	https://drive.google.com/file/d/18gYskTg5T_3EVZobcBDD-UZRFWlyTFnZ/view?usp=share_link
gamo1	Gamo	1	gamo1243	Ta-Ne-Omotic	gmv	https://drive.google.com/file/d/1bFhzEs37xH0mjpqK2tQbu_c45PghZzhQ/view?usp=share_link
gapapaiwa	Gapapaiwa		gapa1238	Austronesian	pwg	https://drive.google.com/file/d/1VkpCd4jUIa2r9lK0kr_g6OS7QPVcHMBM/view?usp=share_link
garifuna	Garifuna		gari1256	Arawakan	cab	https://drive.google.com/file/d/16sdXMFTZI_eoZMRD-lEyROiPXlv2wSeP/view?usp=share_link
garrwa	Garrwa		gara1269	Garrwan	wrk	https://drive.google.com/file/d/14Fo3pdqx9znWj3mL4ORvxAWGEg-2PCNb/view?usp=share_link
gata	Gata'		gata1239	Austroasiatic	gaq	https://drive.google.com/file/d/1Tn6it8uhgSRRAL8gFXSKgk8-9vh0ymHQ/view?usp=share_link
gela	Gela		gela1263	Austronesian	nlg	https://drive.google.com/file/d/17eVWVtBA4DD7YbOUMzqToNGw2Lvg-mh4/view?usp=share_link
german	German		stan1295	Indo-European	deu	https://drive.google.com/file/d/19Oi2joeH_XdqKZaeXyAoXfRAmWCXLRgq/view?usp=share_link
german1	German	1	stan1295	Indo-European	deu	https://drive.google.com/file/d/15BiPcGcW5p74kSnSkTjNw21LfHrPjev5/view?usp=share_link
german1	German	1	stan1295	Indo-European	deu	https://drive.google.com/file/d/18bWZ97RIfQqzVJyEJLzBa8gq41HAD_iF/view?usp=share_link
german1	German	1	stan1295	Indo-European	deu	https://drive.google.com/file/d/1zcuD7qCIsUZGEUNhzxVLKpkoUHUqn17e/view?usp=share_link
german1	German	1	stan1295	Indo-European	deu	https://drive.google.com/file/d/1Pj-UHwqZUowy2kxw2TBrH1FQJD1XEoDi/view?usp=share_link
german1	German	1	stan1295	Indo-European	deu	https://drive.google.com/file/d/1TtDZ3vgE6A_R4rDyldlDZoE8jSu10zD3/view?usp=share_link
ghayavi	Ghayavi		ghay1237	Austronesian	bmk	https://drive.google.com/file/d/13ZFCcUdrNRwuKGCndEFN-TeJqZ2V7J6s/view?usp=share_link
kikuyu	Kikuyu		kiku1240	Atlantic-Congo	kik	https://drive.google.com/file/d/15OAEqvZYKA3Q2DlAgVORNh4TRIJS7VIc/view?usp=share_link
gilaki	Gilaki		gila1241	Indo-European	glk	https://drive.google.com/file/d/1gUGhkeOjvmdywVbbPS9-qKvjqu_JflCe/view?usp=share_link
girawa	Girawa		gira1247	Nuclear Trans New Guinea	bbr	https://drive.google.com/file/d/17xi-TB0TVtjMw1dANf7_VWhr-uZPULhq/view?usp=share_link
girawa1	Girawa	1	gira1247	Nuclear Trans New Guinea	bbr	https://drive.google.com/file/d/1Ck1axRi-z-JLr4WXDEkyiY4kR5S6JU1E/view?usp=share_link
gizrra	Gizrra		gizr1240	Eastern Trans-Fly	tof	https://drive.google.com/file/d/1GLFSEQbr7SslPyNog-VmHmOi1N4dEoGO/view?usp=share_link
gofa	Gofa		gofa1235	Ta-Ne-Omotic	gof	https://drive.google.com/file/d/1neLMoeB6v8rEXQBBnknZO0a1ICI0yATk/view?usp=share_link
gofa1	Gofa	1	gofa1235	Ta-Ne-Omotic	gof	https://drive.google.com/file/d/1rst8GGeiGArBUnOrpBnR4IX1QoeZpiMg/view?usp=share_link
gofa1	Gofa	1	gofa1235	Ta-Ne-Omotic	gof	https://drive.google.com/file/d/10fF9rX75l9gp9ptPfLnMgPajv7rXVLQO/view?usp=share_link
golin	Golin		goli1247	Nuclear Trans New Guinea	gvf	https://drive.google.com/file/d/1uR7qJvmJNpRg8LIlHj9pXNNYzMq8qP2u/view?usp=share_link
gourmanchema	Gourmanchéma		gour1243	Atlantic-Congo	gux	https://drive.google.com/file/d/1USqDmGlSRl-R9FW_hWMbra6KgSDq20yz/view?usp=share_link
gourmanchema1	Gourmanchéma	1	gour1243	Atlantic-Congo	gux	https://drive.google.com/file/d/1I1f48982Scb7KQFO-NMOc6W9YeT2qTeh/view?usp=share_link
ionicatticancientgreek	Ionic-Attic Ancient Greek		anci1242	Indo-European	grc	https://drive.google.com/file/d/1Bh9fEZxkTwH1oEMufRY7aG_x88GQ6dqo/view?usp=share_link
