ID	Name	Name_in_Source	Variety	ISO639P3Code	Glottocode	Family	Year	Date	Copyright	License	Translator	Title	URL
achiacc	Achi	Achi	Cubulco	acr	achi1256	Mayan	2009	2013-01-05	Copyright © 2009 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	I 'utz laj tzij re i dios	https://ebible.org/Scriptures/acr-acc_html.zip
achinnt	Achi	Achi	Rabinal	acr	achi1256	Mayan	2009	2014-04-18	Copyright © 2009 Wycliffe Bible Translators, Inc.	CCBYND-4.0	Wycliffe Bible Translators, Inc.	Ri utzilaj tzij re ri kanimajawal Jesucristo	https://ebible.org/Scriptures/acrNNT_html.zip
achitnt	Achi	Achi	Rabinal	acr	achi1256	Mayan	2009	2014-04-21	Copyright © 2009 Wycliffe Bible Translators, Inc.	CCBYND-4.0	Wycliffe Bible Translators, Inc.	Ri utzilaj tzij re ri kanimajawal Jesucristo	https://ebible.org/Scriptures/acrTNT_html.zip
achuarshiwiarnt	Achuar-Shiwiar	Achuar-shiwiar		acu	achu1248	Chicham	2019	2019-07-01	Copyright © 2019-07-01 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Achuar Peru OT Por and NT 2019 4th edition	https://ebible.org/Scriptures/acuNT_html.zip
adioukrou	Adioukrou	Adioukrou		adj	adio1239	Atlantic-Congo	1998	2020-11-10	Copyright © 1998 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Amani Owr	https://ebible.org/Scriptures/adj_html.zip
adnyamathanha	Adnyamathanha	Adnyamathanha		adt	adny1235	Pama-Nyungan	2021	2021-11-23	Copyright © 2021 Bible Society Australia	CCBYNCND-4.0		Adnyamathanha Christmas Story	https://ebible.org/Scriptures/adt_html.zip
adzera	Adzera	Adzera		adz	adze1240	Austronesian	2009	2024-02-02	Copyright © 2009-2022 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Adzera Baibel	https://ebible.org/Scriptures/adz_html.zip
tunisianarabic	Tunisian Arabic	العهد الجديد بالدارجة التونسية 2022		aeb	tuni1259	Afro-Asiatic	2020	2023-01-06	Copyright © 2020 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	العهد الجديد بالدارجة التونسية 2022	https://ebible.org/Scriptures/aeb_html.zip
easternarrernte	Eastern Arrernte	Eastern Arrente		aer	east2379	Pama-Nyungan	2002	2019-05-14	Copyright © 2002-2014 Wycliffe Bible Translators	CCBYNCND-4.0		Angkentye Mwerre	https://ebible.org/Scriptures/aer_html.zip
akeu	Akeu	Gaolkheel		aeu	akeu1235	Sino-Tibetan	2015	2020-11-13	Copyright © 2015 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Jalliq aqsivq Gaolkheel daoq	https://ebible.org/Scriptures/aeu_html.zip
amele	Amele	Amele		aey	amel1241	Nuclear Trans New Guinea	1997	1997-01-01	Copyright © 1997 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	BAL CEHEC JE HAUN	https://ebible.org/Scriptures/aey_html.zip
agarabi	Agarabi	Agarabi		agd	agar1252	Nuclear Trans New Guinea	2010	2013-01-07	Copyright © 2010 The Bible Society of Papua New Guinea	CCBYNCND-4.0	Wycliffe Bible Translators	YISASINI KAMA VAYA	https://ebible.org/Scriptures/agd_html.zip
angor	Angor	Angor		agg	ango1254	Senagi	2001	2013-01-07	Copyright © 2001 The Bible Society of Papua New Guinea	CCBYNCND-4.0	Wycliffe Bible Translators	Godɨndɨ Hoafɨ	https://ebible.org/Scriptures/agg_html.zip
angaataha	Angaataha	Angaataha		agm	anga1290	Angan	2004	2012-11-17	Copyright © 2004 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	PNG Bible Translation Association	Autaahaatɨhomɨ Pɨwɨha Gaaha Wanɨha	https://ebible.org/Scriptures/agm_html.zip
agutaynen	Agutaynen	Agutaynen		agn	agut1237	Austronesian	2004	2014-08-06	Copyright © 2004 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Ang bitala tang Dios: ba-long inigoan; Ang bagong magandang balita: bagong tipan	https://ebible.org/Scriptures/agn_html.zip
aguaruna	Aguaruna	Aguaruna		agr	agua1253	Chicham	2020	2015-03-17	Copyright © 2020 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Awajún [Aguaruna]	https://ebible.org/Scriptures/agr_html.zip
centralcagayanagta	Central Cagayan Agta	Central Cagayan Agta		agt	cent2084	Austronesian	1992	2015-03-17	Copyright © 1992 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Uhohug na Namaratu gafu te Hesus Kristu	https://ebible.org/Scriptures/agt_html.zip
aguacatecobl	Aguacateco	Aguacateco		agu	agua1252	Mayan	2011	2011-02-18	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Yi Antiw Bible / Yi Ac'aj Testament	https://ebible.org/Scriptures/aguBl_html.zip
ahirani	Ahirani	अहिराणी‎		ahr	ahir1243	Bookkeeping	2023	2023-04-07	Copyright © 2023 The Word for the World International	CCBY-4.0	The Word for the World International	प्रेम संदेश	https://ebible.org/Scriptures/ahr_html.zip
arosi	Arosi	Arosi		aia	aros1241	Austronesian	2005	2017-11-09	Copyright © 2005 Wycliffe Bible Translators, Inc.	CCBYND-4.0	SITAG	Taroha Goro mana Usuusu Maea	https://ebible.org/Scriptures/aia_html.zip
assyrianneoaramaic	Assyrian Neo-Aramaic	ܐܵܬ݂ܘܼܪܵܝܲܐ ܠܸܫܵܢܵܐ		aii	assy1241	Afro-Asiatic	2014	2014-08-06	Copyright © 2014 Aramaic Bible Translation, Inc.	CCBYNCND-4.0	Aramaic Bible Translation, Inc.	ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ	https://ebible.org/Scriptures/aii_html.zip
akan	Akan	Asante Twi	Asante	aka	akan1250	Atlantic-Congo	2020	2021-06-30	Copyright © 2020 Biblica, Inc.	CCBYSA	Biblica, Inc.	Biblica® Wonhia ɛho kwamma nhoma Asante Twi Nkwa Asɛm™	https://ebible.org/Scriptures/aka_html.zip
akawaioingarikont	Akawaio-Ingariko	Akawaio		ake	akaw1239	Cariban	2010	2014-04-21	Copyright © 2010 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Wakʉ Itekare: Emenna' Pe Ekonekan Nɨto'	https://ebible.org/Scriptures/akeNT_html.zip
angalheneng	Angal Heneng	Angal Heneng	Waola	akh	anga1292	Nuclear Trans New Guinea	1978	2020-11-10	Copyright © 1978 The Bible Society of Papua New Guinea	All rights reserved	Wycliffe Bible Translators, Inc.	Angal Heneng mbuk Ngaoran Angal Bib Hobau Sao ngo wi o	https://ebible.org/Scriptures/akh_html.zip
siwu	Siwu	Siwu		akp	siwu1238	Atlantic-Congo	2008	2020-11-30	Copyright © 2008 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Ndamu Ɣɛtɛ Siwu	https://ebible.org/Scriptures/akp_html.zip
alawa	Alawa	Alawa		alh	alaw1244	Mangarrayi-Maran	1991	2021-11-23	Copyright © 1991 Wycliffe Bible Translators	CCBYNCND-4.0		Alawa Song Buk	https://ebible.org/Scriptures/alh_html.zip
alunent	Alune	Alune		alp	alun1238	Austronesian	2012	2014-04-21	Copyright © 2012 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Janji beluke	https://ebible.org/Scriptures/alpNT_html.zip
algonquinalgnt	Algonquin	Algonquin		alq	algo1255	Algic	1998	2014-04-21	Copyright © 1998 Canadian Bible Society	CCBYNCND-4.0	Canadian Bible Society	Kije Manido Odikido8in: Ocki Mazinaigan	https://ebible.org/Scriptures/alqALGNT_html.zip
northerntoskalbanianshq	Northern Tosk Albanian	shqiptar		als	tosk1239	Indo-European		2014-09-04	public domain	Public Domain	Albanian Bible Society	Bibla e Shenjtë	https://ebible.org/Scriptures/alsSHQ_html.zip
alyawarr	Alyawarr	Alyawarr		aly	alya1239	Pama-Nyungan	2009	2023-11-10	Copyright © 2009 Wycliffe Bible Translators	CCBYNCND-4.0		Alyawarr Bible	https://ebible.org/Scriptures/aly_html.zip
yaneshant	Yanesha'	Yanesha'		ame	yane1238	Arawakan	2008	2014-04-30	Copyright © 2008 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Yompor Poʼñoñ ñeñt ̃ attõ Yepartseshar Jesucristo eʼñe etserra aʼpoctaterrnay Yomporesho	https://ebible.org/Scriptures/ameNT_html.zip
hamerbanna	Hamer-Banna	Banna		amf	hame1242	South Omotic	2014	2014-10-15	Copyright © 2014 SIM International	CCBYNCND-4.0	SIM	Haalin Mallano	https://ebible.org/Scriptures/amf_html.zip
amharic	Amharic	አማርኛ		amh	amha1245	Afro-Asiatic	1962	2014-09-09	Copyright © 1962, 2003 United Bible Societies	All rights reserved		መጽሐፍ ቅዱስ	https://ebible.org/Scriptures/amh_html.zip
ambai	Ambai	Ambai		amk	amba1265	Austronesian	2010	2015-03-17	Copyright © 2010 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Sempaisi Ne Kaiwo Mirarebanai	https://ebible.org/Scriptures/amk_html.zip
amapapuanewguinea	Ama (Papua New Guinea)	Sawiyanu		amm	amap1240	Left May	1990	2012-11-17	Copyright © 1990, 2009 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Kotoni Imo Itouniyaimo	https://ebible.org/Scriptures/amm_html.zip
amanabamanab	Amanab	Amanab	Amanab	amn	aman1265	Border	2001	2013-01-07	Copyright © 2001 The Bible Society of Papua New Guinea	CCBYNCND-4.0	Wycliffe Bible Translators	Godna mo Awai mona go	https://ebible.org/Scriptures/amn-amanab_html.zip
amanabn	Amanab	Amanab (Naineri)	Naineri	amn	aman1265	Border	2011	2012-01-19	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Godna mo Awai mona go	https://ebible.org/Scriptures/amn-n_html.zip
amo	Amo	Timap		amo	amoo1242	Atlantic-Congo	2020	2020-07-06	Copyright © 2020 Door43 World Missions Community	CCBYSA	AFenlason, ALHASSAN SUDA, Chrispher Ishaya, James, Kawusu David, Pungs Makarios, Zephaniah A. Isau, tab04-nig, tab12-nig	Amo New Testament	https://ebible.org/Scriptures/amo_html.zip
alamblak	Alamblak	Alamblak		amp	alam1246	Sepik	2003	2011-07-22	Copyright © 2003, 2004 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0		Bro Nkifrarhu Mrokfot	https://ebible.org/Scriptures/amp_html.zip
amarakaerint	Amarakaeri	Amarakaeri		amr	amar1274	Harakmbut	2008	2024-02-11	Copyright © 2008 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Jesucristo oy oa’pak: Kenda Jesucristoa; monigka’uyatenok; Diostaj mo’manopo’yarea’ika’ne	https://ebible.org/Scriptures/amrNT_html.zip
guerreroamuzgont	Guerrero Amuzgo	Guerrero Amuzgo		amu	guer1243	Otomanguean	1999	2024-02-11	Copyright © 1999 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo	https://ebible.org/Scriptures/amuNT_html.zip
anmatyerre	Anmatyerre	Anmayerr		amx	anma1239	Pama-Nyungan	2015	2020-07-24	Copyright © 2015 Wycliffe Bible Translators	CCBYNCND-4.0		Anmatyerr Bible	https://ebible.org/Scriptures/amx_html.zip
nend	Nend	Nend		anh	nend1239	Nuclear Trans New Guinea	2003	2024-02-11	Copyright © 2003 Pioneer Bible Translators	CCBYSA	Bible Society of Papua New Guinea	MAK Yakŋ Ohɨrand Ya Imbɨr Makɨv Mpamar	https://ebible.org/Scriptures/anh_html.zip
denyant	Denya	Denya		anv	deny1238	Atlantic-Congo	2010	2024-02-11	Copyright © 2010 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Ŋwɛ menomenyɛɛ́ mekɛ́	https://ebible.org/Scriptures/anvNT_html.zip
anyin	Anyin	Agni Sanvi		any	anyi1245	Atlantic-Congo	1997	2024-02-11	Copyright © 1997 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Nyɩhyɛ Fʋfɔlɛʼn	https://ebible.org/Scriptures/any_html.zip
anindilyakwa	Anindilyakwa	Anindilyakwa		aoi	anin1240	Gunwinyguan	2019	2022-05-27	Copyright © 2019 Bible Society of Australia	CCBYNCND-4.0		Anindilyakwa Bible	https://ebible.org/Scriptures/aoi_html.zip
mufianfilifita	Mufian	Filifita	Filifita or Ilahita	aoj	mufi1238	Nuclear Torricelli	1998	2012-11-18	Copyright © 1998 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0		BASEF BUꞋWAMI GODI	https://ebible.org/Scriptures/aoj-filifita_html.zip
mufian	Mufian	Mufian	Mufian	aoj	mufi1238	Nuclear Torricelli	1998	2013-07-19	Copyright © 1998 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0		Basef Buꞌwafi Godi	https://ebible.org/Scriptures/aoj_html.zip
omie	Ömie	Ömie		aom	omie1241	Koiarian	1991	2012-10-23	Copyright © 1991 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	God-are Jögoru I'oho	https://ebible.org/Scriptures/aom_html.zip
bumbitaarapesh	Bumbita Arapesh	Arapesh	Central	aon	bumb1241	Nuclear Torricelli	2003	2013-01-05	Copyright © 2003 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	IRUHIN ANANIN BARAEN	https://ebible.org/Scriptures/aon_html.zip
saa	Sa'a	Sa'a		apb	saaa1240	Austronesian	2005	2023-04-22	Copyright © 2005 Wycliffe Bible Translators, Inc.	CCBYND-4.0	SITAG	Tataroha Diana i Sulie Aalaha Ikie a Jisas Kraes	https://ebible.org/Scriptures/apb_html.zip
bukiyipb	Bukiyip	Bukiyip	Mountain Arapesh	ape	buki1249	Nuclear Torricelli	2013	2015-03-17	Copyright © 2013 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	God Ananin Balan	https://ebible.org/Scriptures/apeB_html.zip
bukiyipc	Bukiyip	Coastal Arapesh	Central	ape	buki1249	Nuclear Torricelli	2003	2021-05-07	Copyright © 2003 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0		IRUHIN ANANIN BARAEN	https://ebible.org/Scriptures/apec_html.zip
apinayent	Apinayé	Apinayé		apn	apin1244	Nuclear-Macro-Je	1999	2014-04-21	Copyright © 1999 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Tĩrtũm kapẽr ã kagà nyw	https://ebible.org/Scriptures/apnNT_html.zip
apma	Apma	Apma		app	apma1240	Austronesian	2019	2024-04-27	Copyright © 2019 Pioneer Bible Translators	CCBYNCND-4.0	Dick Bule &amp; Morrie Tabi	Jona	https://ebible.org/Scriptures/app_html.zip
aroplokep	Arop-Lokep	Arop-Lokep	Arop	apr	arop1243	Austronesian	2022	2024-02-23	Copyright © 2022 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Rau Ke Maro	https://ebible.org/Scriptures/apr_html.zip
apurinant	Apurinã	Apurinã		apu	apur1254	Arawakan	2004	2014-04-21	Copyright © 2004 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Teoso sãkire amaneri	https://ebible.org/Scriptures/apuNT_html.zip
westernapachent	Western Apache	Western Apache		apw	west2615	Athabaskan-Eyak-Tlingit	2012	2014-04-21	Copyright © 2012 Wycliffe Bible Translators, Inc.	CCBYND-4.0	Wycliffe Bible Translators, Inc.	The New Testament of our Lord and Saviour Jesus Christ	https://ebible.org/Scriptures/apwNT_html.zip
apalaint	Apalaí	Apalaí		apy	apal1257	Cariban	2017	2020-11-10	Copyright © 2017 Wycliffe Bible Translators, Inc.	All rights reserved		Ritonõpo Omiry: A Bíblia Sagrada na língua Aparai do Brasil	https://ebible.org/Scriptures/apyNT_html.zip
safeyoka	Safeyoka	Ampeeli-Wojokeso		apz	safe1240	Angan	1988	2011-12-15	Copyright © 1988 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Mpohwoe Hungkuno Songofoho	https://ebible.org/Scriptures/apz_html.zip
standardarabicvd	Standard Arabic	العربية	standard	arb	stan1318	Afro-Asiatic		2020-08-03	public domain	Public Domain	Syrian Mission	الكتاب المقدس باللغة العربية، فان دايك	https://ebible.org/Scriptures/arb-vd_html.zip
standardarabicnav	Standard Arabic	العربية		arb	stan1318	Afro-Asiatic	1988	2019-10-09	Copyright © 1988, 1997 International Bible Society	CCBYSA	International Bible Society	كتاب الحياة	https://ebible.org/Scriptures/arbnav_html.zip
standardarabicwbtc	Standard Arabic	العربية	Standard	arb	stan1318	Afro-Asiatic	2007	2015-06-09	Copyright © 2007 World Bible Translation Center	All rights reserved	World Bible Translation Center	الكتاب المقدس باللغة العربية - الترجمة المبسطة	https://ebible.org/Scriptures/arbwbtc_html.zip
westernarrarnta	Western Arrarnta	Western Arrarnta		are	west2441	Pama-Nyungan	1997	2019-05-14	Copyright © 1997 Bible Society of Australia	CCBYNCND-4.0		Altjirraka angkatja  - Arrarnturna kngartiwukala	https://ebible.org/Scriptures/are_html.zip
arabelant	Arabela	Arabela		arl	arab1268	Zaparoan	2008	2014-04-21	Copyright © 2008 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Quiarinio pueyaso rupaa pa jiyaniijia Jesucristojiniji pueyano rupaajinia	https://ebible.org/Scriptures/arlNT_html.zip
mapudungunnt	Mapudungun	Mapudungun		arn	mapu1245	Araucanian	2011	2011-05-16	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Ngünechen ñi Küme Dungu	https://ebible.org/Scriptures/arnNT_html.zip
arapaho	Arapaho	Arapaho		arp	arap1274	Algic		2015-05-06	public domain	Public Domain	Michael White Hawk and John Roberts	Hethadenee waunauyaunee vadan Luke Vanenāna	https://ebible.org/Scriptures/arp_html.zip
algerianarabic	Algerian Arabic	Arabic, Algerian Spoken		arq	alge1239	Afro-Asiatic	2018	2020-11-10	Copyright © 2018 United Bible Societies	All rights reserved	SIL International (in Eurasia)	العهد الجديد باللهجة الجزائرية	https://ebible.org/Scriptures/arq_html.zip
assamesefb	Assamese	অসমীয়া	Standard	asm	assa1263	Indo-European	2017	2020-02-11	Copyright © 2017, 2018 Bridge Connectivity Solutions	CCBYSA	Bridge Connectivity Solutions	ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019	https://ebible.org/Scriptures/asmfb_html.zip
dano	Dano	Dano		aso	dano1240	Nuclear Trans New Guinea	1989	2014-06-24	Copyright © 1989 Wycliffe Bible Translators, Inc.	CCBYND-4.0	Wycliffe Bible Translators	MONO' GODOLO GOSOHO'	https://ebible.org/Scriptures/aso_html.zip
peleata	Pele-Ata	Pele-Ata		ata	pele1245		2009	2013-01-05	Copyright © 2009 The Bible Society of Papua New Guinea	CCBYNCND-4.0	Wycliffe Bible Translators	Vaikala Noxou Lataua	https://ebible.org/Scriptures/ata_html.zip
zaiwant	Zaiwa	Zaiwa		atb	zaiw1241	Sino-Tibetan	2009	2014-04-30	Copyright © 2009 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Chyoiyúng chyumlaiká: dangshikaq asik; Zaiwa	https://ebible.org/Scriptures/atbNT_html.zip
atamanobont	Ata Manobo	Manobo, Ata		atd	atam1240	Austronesian	2000	2014-04-30	Copyright © 2000 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Kasulatan to Magboboot	https://ebible.org/Scriptures/atdNT_html.zip
ivbienorthokpelaarhent	Ivbie North-Okpela-Arhe	Ivbie North-Okpela-Arhe		atg	ivbi1241	Atlantic-Congo	2012	2019-08-09	Copyright © 2012 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Ebe-No-Pfuasẹ Ishobọ Onogbọ	https://ebible.org/Scriptures/atgNT_html.zip
pamplonaatta	Pamplona Atta	Pamplona Atta		att	pamp1244	Austronesian	1996	2014-08-06	Copyright © 1996 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Yù bilin ni Namarò nga meyannung kâ Apu Kesu Kiristu: Yù bagu nga tarátu ni Namarò sù ira nga mangikatalà kâ Apu Kesu Kiristu	https://ebible.org/Scriptures/att_html.zip
waoranint	Waorani	Waorani		auc	waor1240		2009	2014-04-30	Copyright © 2009 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Wængonguï nänö Apæ̈negaïnö	https://ebible.org/Scriptures/aucNT_html.zip
anuki	Anuki	Anuki		aui	anuk1239	Austronesian	2010	2014-06-02	Copyright © 2010-2016 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Buk Baibel long Anuki	https://ebible.org/Scriptures/aui_html.zip
auye	Auye	Auye		auu	auye1238	Nuclear Trans New Guinea	2020	2020-11-11	Copyright © 2020 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Ogatamee Me Etokaa Gipii See Menaa	https://ebible.org/Scriptures/auu_html.zip
awiyaana	Awiyaana	Awiyaana		auy	awiy1238	Nuclear Trans New Guinea	1984	2013-08-17	Copyright © 1984 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Aú-aai símai kááísamakain-aai	https://ebible.org/Scriptures/auy_html.zip
au	Au	Au		avt	auuu1241	Nuclear Torricelli	1992	2014-12-03	Copyright © 1992 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Hɨm Yaaim Me God	https://ebible.org/Scriptures/avt_html.zip
avokaya	Avokaya	Avokaya		avu	avok1242	Central Sudanic	2002	2020-11-13	Copyright © 2002 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Tã-drı̣̃ Lẽlẽ Óꞌdí Óvârí Kâ	https://ebible.org/Scriptures/avu_html.zip
awapapuanewguinea	Awa (Papua New Guinea)	Awa		awb	awap1236	Nuclear Trans New Guinea	1974	2013-12-11	Copyright © 1974, 1997 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Manikáne O Ehwehne	https://ebible.org/Scriptures/awb_html.zip
awabakal	Awabakal	Awabakalkoba		awk	awab1243	Pama-Nyungan		2020-03-03	public domain	Public Domain		EUANGELION UNNI TA JESU-ÚBA CHRIST-KO-BA UPATOARA LUKA-UMBA	https://ebible.org/Scriptures/awk_html.zip
awara	Awara	Awara		awx	awar1248	Nuclear Trans New Guinea	2011	2014-12-29	Copyright © 2011 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Awara Baibel	https://ebible.org/Scriptures/awx_html.zip
maybratkaron	Maybrat-Karon	Mai Brat		ayz	maib1239		2005	2020-11-11	Copyright © 2005 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Watum ro Tuhan Bosi ro Tna	https://ebible.org/Scriptures/ayz_html.zip
