ID	Name	Name_in_Source	Variety	ISO639P3Code	Glottocode	Family	Year	Date	Copyright	License	Translator	Title	URL
arifamaminiafia	Arifama-Miniafia	Miniafia		aai	arif1239	Austronesian	2009	2022-04-14	Copyright © 2009 anonymous	CCBYNCND-4.0	anonymous	TUR GEWASIN O BAIBASIT BOUBUN	https://ebible.org/Scriptures/aai_html.zip
ankave	Ankave	Angave		aak	anka1246	Angan	1990	2012-10-03	Copyright © 1990 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Xwɨyí̵á Gorɨxoyá Sɨŋí̵pɨrɨnɨ	https://ebible.org/Scriptures/aak_html.zip
abau	Abau	Abau		aau	abau1245	Sepik	2006	2013-01-03	Copyright © 2006 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	God so Sokior-ok Iwon	https://ebible.org/Scriptures/aau_html.zip
amarasi	Amarasi	Amarasi		aaz	amar1273	Austronesian	1999	2022-03-11	Copyright © 1999-2014 Unit Bahasa dan Budaya, Kupang NTT, Indonesia	CCBYND-4.0	Wycliffe Bible Translators	Uisneno In Kabin ma Prenat: Rais Manba'an Fe'u nok Reta' Ahun-hunut	https://ebible.org/Scriptures/aaz_html.zip
abenlenayta	Abenlen Ayta	Ayta, Abellen		abp	aben1249	Austronesian	2020	2020-11-11	Copyright © 2020 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Ayta Abellen	https://ebible.org/Scriptures/abp_html.zip
ambulasmaprik	Ambulas	Ambulas (Maprik)	Maprik	abt	ambu1247	Ndu	1983	2013-01-04	Copyright © 1983 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Gotna Kudi	https://ebible.org/Scriptures/abt-maprik_html.zip
ambulaswosera	Ambulas	Ambulas (Wosera)	Wosera-Kamu	abt	ambu1247	Ndu	1996	2013-01-07	Copyright © 1996 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	Gotna Kundi	https://ebible.org/Scriptures/abt-wosera_html.zip
inabaknon	Inabaknon	Inabaknon		abx	inab1237	Austronesian	1996	2014-08-06	Copyright © 1996 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	I Baha'o Kasuratan	https://ebible.org/Scriptures/abx_html.zip
anemewake	Aneme Wake	Aneme Wake		aby	anem1248	Yareban	1988	2013-01-07	Copyright © 1988 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators	GODINU IRAU WAKE	https://ebible.org/Scriptures/aby_html.zip
achagua	Achagua	Achagua		aca	acha1250	Arawakan	2013	2022-03-11	Copyright © 2013 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	Liáꞌa Chuánshi Dios Shínaa	https://ebible.org/Scriptures/aca_html.zip
gikyode	Gikyode	Gikyode		acd	giky1238	Atlantic-Congo	2020	2020-11-17	Copyright © 2020 Wycliffe Bible Translators, Inc.	All rights reserved	Wycliffe Bible Translators, Inc.	GɛnÞ PobÞrÞ, Gɛbono Wurubuaarɛ Gi Yɛgɛ Mɔ-rɛ Anyamesɛ Mɛ Wɔra Mɔ	https://ebible.org/Scriptures/acd_html.zip
saintluciancreolefrenchnt	Saint Lucian Creole French	Saint Lucian Creole French		acf	sain1246	Indo-European	1999	2014-04-30	Copyright © 1999 Wycliffe Bible Translators, Inc.	CCBYNCND-4.0	Wycliffe Bible Translators, Inc.	Tèstèman nèf-la: Épi an posyòn an liv samz-la	https://ebible.org/Scriptures/acfNT_html.zip
